date,open,high,low,close,volume,dividends,stock_splits,adjusted_close
2026-05-18,395.4538101055549,408.36608091552193,394.29449886421145,396.70306396484375,26837200,0.0,0.0,396.70306396484375
2026-05-19,396.723025004717,396.91291402359946,385.8794958446922,387.4285888671875,39545700,0.0,0.0,387.4285888671875
2026-05-20,387.4685872554011,393.6248834036927,382.6714341601505,388.6778564453125,31744400,0.0,0.0,388.6778564453125
2026-05-21,385.4697674348519,392.2656959548347,382.7913440893277,387.4285888671875,24852800,0.0,0.0,387.4285888671875
2026-05-22,387.1187843592316,388.5079387636157,381.5420981620284,382.7413940429688,20442100,0.0,0.0,382.7413940429688
2026-05-26,384.2804712769477,389.0276356997364,382.3716078175452,388.6478576660156,27747400,0.0,0.0,388.6478576660156
2026-05-27,386.4391861502527,393.64487351491664,385.66962629134815,388.5978698730469,23087300,0.0,0.0,388.5978698730469
2026-05-28,387.7683918215113,391.6360768291116,384.9300907577927,389.8971252441406,24357500,0.0,0.0,389.8971252441406
2026-05-29,385.0100143138995,385.0100143138995,378.2340629764561,380.1129455566406,44415800,0.0,0.0,380.1129455566406
2026-06-01,376.2952290661171,378.3340198477676,373.2970198869562,376.1453247070313,28672100,0.0,0.0,376.1453247070313
2026-06-02,366.371163421305,373.31702687507857,358.2260345973877,361.6340026855469,50412300,0.0,0.0,361.6340026855469
2026-06-03,361.81388965190393,366.2312646097652,357.8662353535933,358.77569580078125,55441600,0.0,0.0,358.77569580078125
2026-06-04,358.68575901079333,373.0271992966173,357.9961684462237,371.96783447265625,44055500,0.0,0.0,371.96783447265625
2026-06-05,366.1213024821565,371.8578661166277,363.9026265347829,368.30999755859375,37471200,0.0,0.0,368.30999755859375
2026-06-08,365.1799926757813,366.2000122070313,360.5299987792969,363.30999755859375,27942500,0.22,0.0,363.30999755859375
2026-06-09,367.0899963378906,372.0799865722656,357.29998779296875,364.260009765625,29535100,0.0,0.0,364.260009765625
2026-06-10,363.1900024414063,368.55999755859375,355.20001220703125,356.3800048828125,32357100,0.0,0.0,356.3800048828125
2026-06-11,355.92999267578125,358.79998779296875,346.3599853515625,357.7699890136719,35538200,0.0,0.0,357.7699890136719
2026-06-12,362.6199951171875,366.5700073242188,354.94000244140625,359.67999267578125,24704600,0.0,0.0,359.67999267578125
2026-06-15,367.9299926757813,372.989990234375,366.5499877929688,369.3500061035156,27727500,0.0,0.0,369.3500061035156
2026-06-16,369.6000061035156,376.0,367.05999755859375,373.25,24876100,0.0,0.0,373.25
2026-06-17,369.1300048828125,372.3299865722656,362.0199890136719,363.7900085449219,24543600,0.0,0.0,363.7900085449219
2026-06-18,365.75,369.4800109863281,358.6700134277344,368.0299987792969,44470100,0.0,0.0,368.0299987792969
2026-06-22,357.95001220703125,358.9200134277344,341.7200012207031,349.67999267578125,52814800,0.0,0.0,349.67999267578125
